iter	Passed	Remaining
0	126	37797
1	220	32787
2	300	29783
3	387	28710
4	468	27650
5	536	26302
6	604	25294
7	677	24716
8	750	24255
9	820	23784
10	889	23364
11	955	22931
12	1021	22559
13	1094	22349
14	1168	22197
15	1235	21935
16	1307	21770
17	1388	21758
18	1464	21665
19	1534	21488
20	1606	21347
21	1678	21213
22	1750	21084
23	1817	20903
24	1890	20790
25	1977	20844
26	2068	20910
27	2153	20918
28	2247	21002
29	2339	21052
30	2424	21036
31	2511	21030
32	2608	21105
33	2696	21098
34	2783	21077
35	2873	21070
36	2959	21035
37	3037	20940
38	3128	20934
39	3213	20889
40	3286	20758
41	3357	20624
42	3426	20478
43	3498	20357
44	3563	20195
45	3629	20042
46	3699	19916
47	3770	19793
48	3842	19681
49	3912	19560
50	3984	19453
51	4058	19358
52	4143	19308
53	4229	19266
54	4316	19228
55	4386	19110
56	4460	19016
57	4533	18915
58	4607	18818
59	4680	18720
60	4752	18621
61	4833	18554
62	4917	18498
63	4998	18430
64	5075	18348
65	5149	18258
66	5224	18170
67	5295	18067
68	5374	17993
69	5448	17903
70	5519	17803
71	5597	17726
72	5668	17626
73	5739	17528
74	5807	17423
75	5876	17320
76	5949	17231
77	6022	17140
78	6092	17044
79	6161	16943
80	6232	16852
81	6304	16759
82	6377	16674
83	6449	16585
84	6527	16510
85	6600	16423
86	6669	16329
87	6735	16225
88	6807	16140
89	6875	16041
90	6946	15954
91	7026	15886
92	7100	15803
93	7167	15706
94	7235	15612
95	7314	15542
96	7388	15461
97	7457	15370
98	7530	15290
99	7601	15203
100	7673	15118
101	7742	15029
102	7814	14945
103	7881	14853
104	7952	14769
105	8025	14688
106	8093	14598
107	8164	14514
108	8238	14436
109	8310	14353
110	8378	14265
111	8452	14187
112	8535	14125
113	8605	14041
114	8679	13962
115	8756	13888
116	8822	13799
117	8900	13728
118	8973	13648
119	9039	13559
120	9114	13482
121	9184	13400
122	9250	13312
123	9321	13230
124	9389	13145
125	9467	13074
126	9536	12990
127	9611	12914
128	9681	12833
129	9759	12761
130	9829	12680
131	9900	12601
132	9973	12522
133	10045	12443
134	10118	12367
135	10198	12298
136	10275	12226
137	10354	12155
138	10423	12072
139	10486	11984
140	10554	11902
141	10626	11823
142	10707	11755
143	10782	11680
144	10855	11603
145	10925	11523
146	11000	11449
147	11071	11370
148	11147	11296
149	11215	11215
150	11289	11140
151	11362	11063
152	11437	10989
153	11521	10922
154	11600	10851
155	11683	10784
156	11758	10709
157	11824	10626
158	11895	10549
159	11973	10476
160	12045	10399
161	12113	10318
162	12183	10240
163	12255	10162
164	12327	10085
165	12400	10010
166	12478	9937
167	12554	9864
168	12626	9787
169	12698	9710
170	12770	9633
171	12842	9557
172	12917	9482
173	12996	9411
174	13068	9334
175	13142	9259
176	13214	9182
177	13279	9101
178	13348	9022
179	13414	8943
180	13482	8864
181	13557	8790
182	13631	8715
183	13706	8640
184	13773	8562
185	13848	8487
186	13916	8409
187	13991	8335
188	14060	8257
189	14130	8180
190	14209	8108
191	14285	8035
192	14355	7958
193	14426	7882
194	14508	7812
195	14583	7738
196	14661	7665
197	14734	7590
198	14811	7517
199	14883	7441
200	14956	7366
201	15026	7289
202	15096	7213
203	15172	7140
204	15246	7065
205	15317	6989
206	15388	6913
207	15460	6838
208	15536	6764
209	15604	6687
210	15672	6610
211	15754	6539
212	15822	6462
213	15894	6387
214	15966	6312
215	16037	6236
216	16112	6162
217	16178	6085
218	16245	6008
219	16315	5933
220	16385	5857
221	16463	5784
222	16535	5709
223	16600	5632
224	16675	5558
225	16759	5487
226	16843	5416
227	16921	5343
228	16996	5269
229	17064	5193
230	17139	5119
231	17223	5048
232	17311	4977
233	17392	4905
234	17463	4830
235	17541	4757
236	17622	4684
237	17697	4610
238	17780	4538
239	17873	4468
240	17946	4393
241	18025	4320
242	18094	4244
243	18175	4171
244	18249	4096
245	18319	4021
246	18391	3946
247	18465	3871
248	18542	3797
249	18614	3722
250	18698	3650
251	18770	3575
252	18840	3500
253	18911	3424
254	18986	3350
255	19060	3276
256	19132	3201
257	19210	3127
258	19285	3052
259	19363	2978
260	19432	2903
261	19508	2829
262	19581	2754
263	19654	2680
264	19738	2607
265	19815	2532
266	19887	2457
267	19960	2383
268	20040	2309
269	20112	2234
270	20184	2160
271	20257	2085
272	20328	2010
273	20402	1935
274	20478	1861
275	20555	1787
276	20628	1712
277	20709	1638
278	20779	1564
279	20851	1489
280	20921	1414
281	20993	1339
282	21061	1265
283	21141	1191
284	21213	1116
285	21288	1042
286	21362	967
287	21435	893
288	21516	818
289	21591	744
290	21663	670
291	21747	595
292	21822	521
293	21896	446
294	21967	372
295	22043	297
296	22116	223
297	22199	148
298	22277	74
299	22349	0
